web-scraper-order,web-scraper-start-url,size
"1728486848-207","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","700.5 Mbytes"
"1728486848-208","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","664.7 Mbytes"
"1728486848-209","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","674.2 Mbytes"
"1728486848-210","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","647.2 Mbytes"
"1728486848-211","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","664.6 Mbytes"
"1728486848-212","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","667.0 Mbytes"
"1728486848-213","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","654.3 Mbytes"
"1728486848-214","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","688.6 Mbytes"
"1728486848-215","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","676.3 Mbytes"
"1728486848-216","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","699.3 Mbytes"
"1728486848-217","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","704.0 Mbytes"
"1728486848-218","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","634.3 Mbytes"
"1728486848-219","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","696.2 Mbytes"
"1728486848-220","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","667.8 Mbytes"
"1728486848-221","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","677.5 Mbytes"
"1728486848-222","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","649.6 Mbytes"
"1728486848-223","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","663.3 Mbytes"
"1728486848-224","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","668.9 Mbytes"
"1728486848-225","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","655.8 Mbytes"
"1728486848-226","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","687.6 Mbytes"
"1728486848-227","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","673.9 Mbytes"
"1728486848-228","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","704.3 Mbytes"
