name,url,p1,p2,p3,p4
air.2m.2014.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2014.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2015.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2015.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2016.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2016.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2017.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2017.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2018.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2018.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2019.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2019.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2020.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2020.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2021.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2021.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2022.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2022.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2023.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2023.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2024.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2024.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1979.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1979.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1980.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1980.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1981.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1981.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1982.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1982.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1983.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1983.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1984.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1984.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1985.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1985.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1986.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1986.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1987.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1987.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
